CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKCIPLA27-JUL-2023,966.1500000,964.9000000,970.0000000,963.9500000,969.3000000,969.3000000,0.3200000,247.0000000,44200.0000000,68.0000000,42751150.0000000
FUTSTKPAGEIND29-JUN-2023,39132.4500000,39121.9000000,39358.0000000,38479.2500000,38581.4000000,38581.4000000,-1.4000000,11003.0000000,23460.0000000,1564.0000000,912119029.5000000
FUTSTKMANAPPURAM29-JUN-2023,112.8500000,114.0000000,118.5000000,114.0000000,117.7000000,117.7000000,4.2900000,8732.0000000,7008000.0000000,1168.0000000,816717000.0000000
FUTSTKIDFCFIRSTB27-JUL-2023,71.9500000,71.9500000,72.6000000,71.3000000,71.4500000,71.4500000,-0.6900000,1787.0000000,6030000.0000000,402.0000000,433753500.0000000
FUTSTKINDHOTEL29-JUN-2023,382.1000000,382.4000000,387.2000000,382.4000000,384.0500000,384.0500000,0.5100000,8861.0000000,4114000.0000000,2057.0000000,1583431700.0000000
FUTSTKSHRIRAMFIN27-JUL-2023,1409.1500000,1427.1000000,1432.4500000,1409.0000000,1411.4500000,1411.4500000,0.1600000,69.0000000,25800.0000000,43.0000000,36688260.0000000
FUTIDXNIFTY27-JUL-2023,18791.8000000,18799.9500000,18817.0500000,18706.5500000,18719.5500000,18719.5500000,-0.3800000,18827.0000000,293500.0000000,5870.0000000,5504317560.0000000
FUTSTKMPHASIS29-JUN-2023,1859.6500000,1862.7000000,1867.9500000,1843.8000000,1855.0000000,1855.0000000,-0.2500000,10994.0000000,471350.0000000,1714.0000000,874240922.5000000
FUTSTKAUBANK27-JUL-2023,745.1000000,747.7000000,755.9500000,743.0000000,755.0000000,755.0000000,1.3200000,407.0000000,112000.0000000,112.0000000,84207200.0000000
FUTSTKRELIANCE29-JUN-2023,2509.3000000,2511.7000000,2517.0000000,2486.0000000,2488.8000000,2488.8000000,-0.8100000,143238.0000000,4542250.0000000,18169.0000000,11361539062.5000000
FUTSTKESCORTS31-AUG-2023,2205.8000000,2166.0500000,2166.6500000,2155.0000000,2155.0000000,2170.9500000,-1.5700000,6.0000000,1100.0000000,4.0000000,2378117.5000000
FUTSTKIDFCFIRSTB31-AUG-2023,72.0000000,72.0000000,72.6500000,71.5000000,71.6000000,71.6000000,-0.5500000,200.0000000,570000.0000000,38.0000000,41043000.0000000
FUTSTKBAJFINANCE27-JUL-2023,7066.7500000,7076.8000000,7121.0000000,7065.0000000,7090.8500000,7090.8500000,0.3400000,1253.0000000,60625.0000000,485.0000000,429819631.2500000
FUTSTKCONCOR29-JUN-2023,677.5500000,681.4500000,687.4000000,668.6000000,676.2000000,676.2000000,-0.1900000,5622.0000000,3586000.0000000,3586.0000000,2432071350.0000000
FUTSTKDIVISLAB27-JUL-2023,3514.6500000,3516.3500000,3517.2500000,3446.0000000,3452.3000000,3452.3000000,-1.7700000,552.0000000,45600.0000000,228.0000000,158592810.0000000
FUTSTKBIOCON29-JUN-2023,242.2000000,244.1000000,247.0000000,241.2500000,241.9500000,241.9500000,-0.1000000,10738.0000000,3116500.0000000,1355.0000000,758074825.0000000
FUTSTKTATACOMM29-JUN-2023,1397.7000000,1408.0000000,1458.0000000,1396.0000000,1454.4500000,1454.4500000,4.0600000,5951.0000000,2955500.0000000,5911.0000000,4257253100.0000000
FUTSTKCUMMINSIND31-AUG-2023,1796.2000000,0.0000000,0.0000000,0.0000000,,1812.1500000,0.8800000,7.0000000,0.0000000,0.0000000,0.0000000
FUTSTKTITAN31-AUG-2023,2909.3500000,2945.4000000,2948.7500000,2912.3000000,2915.6000000,2915.6000000,0.2100000,61.0000000,4875.0000000,13.0000000,14301712.5000000
FUTSTKDLF27-JUL-2023,488.7500000,488.1000000,494.5500000,488.0000000,489.7000000,489.7000000,0.1900000,424.0000000,275550.0000000,167.0000000,135296205.0000000
FUTSTKDEEPAKNTR31-AUG-2023,2120.9000000,2055.1000000,2055.1000000,2000.0000000,2004.6500000,2004.6500000,-5.4800000,94.0000000,5400.0000000,18.0000000,10928775.0000000
FUTSTKBALRAMCHIN29-JUN-2023,397.0500000,402.5500000,414.7500000,402.5000000,406.6500000,406.6500000,2.4100000,4810.0000000,7174400.0000000,4484.0000000,2932845520.0000000
FUTSTKBANDHANBNK29-JUN-2023,260.9000000,261.7000000,265.0500000,257.0000000,257.8500000,257.8500000,-1.1600000,16828.0000000,5961600.0000000,3312.0000000,1554334830.0000000
FUTSTKCANBK31-AUG-2023,317.5000000,315.6000000,315.8500000,315.6000000,315.6000000,316.1500000,-0.4200000,40.0000000,24300.0000000,9.0000000,7669755.0000000
FUTSTKCOFORGE27-JUL-2023,4412.1500000,4390.1500000,4458.4500000,4390.1500000,4440.5000000,4440.5000000,0.6400000,96.0000000,6750.0000000,45.0000000,29948602.5000000
FUTSTKMETROPOLIS29-JUN-2023,1299.0000000,1305.3000000,1327.5000000,1283.6000000,1285.7500000,1285.7500000,-1.0200000,2280.0000000,418800.0000000,1047.0000000,546755280.0000000
FUTSTKAXISBANK29-JUN-2023,966.7000000,961.3500000,978.9000000,961.3500000,974.0000000,974.0000000,0.7500000,37853.0000000,13450800.0000000,11209.0000000,13105972020.0000000
FUTSTKFEDERALBNK29-JUN-2023,126.8000000,126.6000000,126.7000000,125.2000000,125.5500000,125.5500000,-0.9800000,14996.0000000,12960000.0000000,2592.0000000,1631369750.0000000
FUTIDXFINNIFTY27-JUN-2023,19493.9000000,19481.0500000,19540.5000000,19432.3500000,19465.0000000,19465.0000000,-0.1400000,863.0000000,30200.0000000,755.0000000,588560912.0000000
FUTSTKAMBUJACEM27-JUL-2023,453.7500000,455.7000000,460.0000000,454.1000000,457.1000000,457.1000000,0.7300000,1022.0000000,271800.0000000,151.0000000,124144110.0000000
FUTSTKJSWSTEEL29-JUN-2023,753.6500000,758.7000000,759.0000000,746.3000000,752.6500000,752.6500000,-0.1300000,23070.0000000,5995350.0000000,4441.0000000,4514648737.5000000
FUTSTKRECLTD27-JUL-2023,146.7500000,147.0000000,150.3500000,146.5000000,150.1000000,150.1000000,2.2800000,170.0000000,720000.0000000,90.0000000,107462400.0000000
FUTSTKEICHERMOT27-JUL-2023,3657.9000000,3663.3500000,3668.0000000,3611.4000000,3617.1000000,3617.1000000,-1.1100000,280.0000000,15400.0000000,88.0000000,56076238.7500000
FUTSTKITC27-JUL-2023,448.3500000,444.7500000,449.5000000,443.0500000,443.5000000,443.5000000,-1.0800000,2091.0000000,1115200.0000000,697.0000000,495884560.0000000
FUTSTKDABUR27-JUL-2023,556.5000000,555.5000000,555.8500000,550.3000000,552.6500000,552.6500000,-0.6900000,122.0000000,23750.0000000,19.0000000,13133750.0000000
FUTSTKLUPIN31-AUG-2023,825.4000000,820.2500000,821.3000000,817.0000000,817.5000000,817.5000000,-0.9500000,26.0000000,6800.0000000,8.0000000,5569030.0000000
FUTSTKMETROPOLIS31-AUG-2023,1315.7000000,1327.3500000,1327.3500000,1327.3500000,1327.3500000,1300.5500000,-1.1500000,22.0000000,400.0000000,1.0000000,530940.0000000
FUTSTKAUBANK31-AUG-2023,768.0000000,748.7500000,748.7500000,748.7500000,748.7500000,774.8500000,0.8900000,26.0000000,1000.0000000,1.0000000,748750.0000000
FUTSTKHINDUNILVR27-JUL-2023,2690.8500000,2691.5000000,2693.0000000,2629.6000000,2639.5500000,2639.5500000,-1.9000000,570.0000000,84600.0000000,282.0000000,224190135.0000000
FUTSTKASIANPAINT29-JUN-2023,3203.4000000,3214.7000000,3246.6000000,3184.3500000,3194.2000000,3194.2000000,-0.2800000,25646.0000000,1029000.0000000,5145.0000000,3304955380.0000000
FUTSTKTORNTPHARM29-JUN-2023,1798.0500000,1799.4500000,1820.4500000,1799.4500000,1805.6000000,1805.6000000,0.4100000,3770.0000000,322500.0000000,645.0000000,583287875.0000000
FUTSTKNAVINFLUOR27-JUL-2023,4595.3500000,4625.0000000,4625.0000000,4468.7000000,4481.4500000,4481.4500000,-2.4700000,251.0000000,11700.0000000,78.0000000,52836420.0000000
FUTSTKDIXON29-JUN-2023,4057.1500000,4066.8500000,4110.0000000,4033.2000000,4050.3000000,4050.3000000,-0.1600000,7057.0000000,602750.0000000,4822.0000000,2449115806.2500000
FUTSTKOBEROIRLTY27-JUL-2023,970.7000000,980.9500000,981.0000000,970.0000000,970.0000000,975.0500000,0.4400000,39.0000000,7000.0000000,10.0000000,6827695.0000000
FUTSTKCROMPTON27-JUL-2023,281.0000000,280.6000000,281.6500000,275.0000000,275.1500000,275.1500000,-2.0800000,496.0000000,266400.0000000,148.0000000,74048940.0000000
FUTSTKCROMPTON29-JUN-2023,281.9000000,281.6500000,283.1000000,274.9500000,275.8500000,275.8500000,-2.1400000,10738.0000000,1954500.0000000,1303.0000000,544590750.0000000
FUTSTKSBILIFE27-JUL-2023,1248.9500000,1253.0000000,1260.2000000,1238.7500000,1240.2000000,1240.2000000,-0.7000000,91.0000000,21750.0000000,29.0000000,27226237.5000000
FUTSTKLUPIN29-JUN-2023,814.6500000,815.1000000,820.0000000,809.0000000,811.0000000,811.0000000,-0.4400000,8066.0000000,1250350.0000000,1471.0000000,1016979355.0000000
