SYMBOL,PIVOT,BOTTOMCPR,TOPCPR,MOMENTUMOFSTOCK
ARTEMISMED,84.07,83.95,84.18,High
ARTNIRMAN,46.38,46.45,46.32,High
ARVEE,107.25,107.55,106.95,Low
ARVIND,121.42,120.7,122.13,Low
ARVINDFASN,279.07,279.43,278.71,Low
ARVSMART,326.9,322.5,331.3,Low
ASAHIINDIA,458.02,459.05,456.98,Low
ASAHISONG,206.87,206.73,207.01,Low
ASAL,322.52,322.88,322.16,Low
ASALCBR,363.8,363.68,363.93,Low
ASHAPURMIN,148.98,148.62,149.34,Low
ASHIANA,178.88,178.9,178.87,High
ASHIMASYN,14.27,14.27,14.26,High
ASHOKA,83.32,83.45,83.18,Low
ASHOKLEY,153.73,153.25,154.22,Low
ASIANENE,101.83,101.3,102.37,Low
ASIANHOTNR,160.67,161.0,160.33,Low
ASIANPAINT,3093.48,3098.0,3088.97,Low
ASIANTILES,51.32,51.33,51.31,High
ASMS,8.65,8.65,8.65,High
ASPINWALL,213.83,213.65,214.02,Low
ASTEC,1483.97,1482.9,1485.03,Low
ASTERDM,255.83,256.45,255.22,Low
ASTRAL,1665.37,1671.97,1658.76,Low
ASTRAMICRO,333.03,332.55,333.52,Low
ASTRAZEN,3209.3,3213.25,3205.35,Low
ASTRON,26.27,26.38,26.16,High
ATALREAL,112.37,112.12,112.61,Low
ATAM,240.5,241.55,239.45,Low
ATFL,771.23,772.55,769.92,Low
ATGL,673.8,666.65,680.95,Low
ATLANTA,14.88,14.93,14.84,High
ATUL,6635.38,6645.5,6625.27,Low
ATULAUTO,374.52,372.75,376.28,Low
AUBANK,747.93,745.0,750.87,Low
AURIONPRO,633.8,624.17,643.42,Low
AUROPHARMA,592.62,593.9,591.33,Low
AURUM,112.98,113.3,112.67,Low
AURUMPP,52.75,52.75,52.75,High
AUSOMENT,60.75,60.8,60.7,High
AUTOAXLES,2263.25,2284.72,2241.78,Low
AUTOBEES,141.1,141.21,140.99,High
AUTOIND,65.78,65.8,65.77,High
AVADHSUGAR,487.45,486.12,488.77,Low
AVALON,408.93,407.55,410.32,Low
AVANTIFEED,369.2,370.5,367.9,Low
AVG,218.53,219.53,217.54,Low
AVONMORE,64.95,65.12,64.78,Low
AVROIND,146.12,147.12,145.11,Low
AVTNPL,92.0,92.08,91.92,High
AWHCL,283.32,284.32,282.31,Low
AWL,394.05,389.1,399.0,Low
AXISBANK,920.0,917.98,922.02,Low
AXISBNKETF,443.31,442.69,443.92,Low
AXISBPSETF,11.09,11.13,11.04,High
AXISCADES,359.73,356.05,363.42,Low
AXISCETF,77.55,77.52,77.58,High
AXISGOLD,51.6,51.59,51.61,High
AXISHCETF,79.56,79.62,79.5,High
AXISILVER,73.52,73.45,73.58,High
AXISNIFTY,195.34,195.97,194.71,Low
AXISTECETF,290.75,290.6,290.89,Low
AXITA,26.05,26.05,26.05,High
AXSENSEX,61.44,61.41,61.46,High
AYMSYNTEX,75.3,75.43,75.18,Low
BAFNAPH,89.75,89.67,89.83,High
BAGFILMS,4.17,4.17,4.16,High
BAHETI,108.67,109.5,107.83,Low
BAIDFIN,38.17,38.78,37.56,Low
BAJAJ-AUTO,4499.13,4507.1,4491.17,Low
BAJAJCON,179.82,179.25,180.38,Low
BAJAJELEC,1181.05,1181.17,1180.92,Low
BAJAJFINSV,1411.62,1409.88,1413.36,Low
BAJAJHCARE,306.57,307.43,305.71,Low
BAJAJHIND,13.47,13.4,13.53,High
BAJAJHLDNG,6315.52,6324.02,6307.01,Low
BAJFINANCE,6772.07,6766.0,6778.13,Low
BALAJITELE,41.43,41.53,41.34,High
BALAMINES,2327.97,2338.7,2317.23,Low
BALAXI,622.3,627.42,617.17,Low
BALKRISHNA,26.67,26.7,26.63,High
BALKRISIND,2173.72,2186.1,2161.33,Low
BALLARPUR,0.67,0.68,0.66,High
BALMLAWRIE,124.08,123.97,124.19,High
BALPHARMA,84.48,84.3,84.67,Low
BALRAMCHIN,387.27,386.8,387.73,Low
BANARBEADS,80.82,81.1,80.53,Low
BANARISUG,2729.83,2732.35,2727.32,Low
BANCOINDIA,277.8,279.85,275.75,Low
BANDHANBNK,240.05,241.1,239.0,Low
BANG,39.75,39.9,39.6,Low
BANKA,73.95,74.15,73.75,Low
BANKBARODA,180.75,180.18,181.32,Low
BANKBEES,444.35,443.74,444.96,Low
BANKINDIA,75.83,75.9,75.77,High
BANSWRAS,166.18,167.47,164.89,Low
BARBEQUE,632.42,634.5,630.33,Low
BASF,2453.6,2457.75,2449.45,Low
BASML,44.2,44.25,44.15,High
BATAINDIA,1549.67,1557.43,1541.91,Low
BAYERCROP,4137.38,4137.85,4136.92,Low
BBETF0432,1076.55,1076.06,1077.03,Low
BBL,2862.43,2875.0,2849.87,Low
BBOX,135.12,135.07,135.16,High
BBTC,945.27,945.35,945.18,High
BBTCL,235.47,234.93,236.01,Low
BCG,14.83,14.85,14.82,High
BCLIND,460.85,460.93,460.77,High
BCONCEPTS,251.33,253.95,248.72,Low
BDL,1059.45,1060.97,1057.93,Low
BEARDSELL,23.23,23.33,23.14,High
BECTORFOOD,651.37,651.5,651.23,Low
BEDMUTHA,56.02,56.03,56.01,High
BEL,106.85,106.78,106.93,High
BEML,1428.92,1434.25,1423.58,Low
BEPL,135.42,135.0,135.83,Low
BERGEPAINT,624.0,623.38,624.62,Low
BESTAGRO,1063.5,1065.47,1061.53,Low
BETA,735.15,736.75,733.55,Low
BEWLTD,922.25,913.95,930.55,Low
BFINVEST,372.78,372.77,372.79,High
BFUTILITIE,339.22,339.12,339.31,High
BGRENERGY,53.22,53.35,53.08,Low
BHAGCHEM,1542.1,1538.53,1545.68,Low
BHAGERIA,125.4,125.38,125.42,High
